% Model:              TestCase5.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 30 2020, 10:07
% Dimension:          1
% Nodes:              83
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         8.811620257933904E-4
0.0012054751734834135     8.814068590820803E-4
0.0024105803877848063     8.822418303522414E-4
0.002410950346966827      8.8274088856201E-4
0.002411320404218915      8.827411901292929E-4
0.003616051879002915      8.853661657982452E-4
0.004819768193270842      8.921502778370309E-4
0.0048211533902923496     8.921601303499213E-4
0.004822539454378404      8.93356914534117E-4
0.006025594193791137      9.037788615769093E-4
0.007226577340504154      9.243283122503491E-4
0.007230035031055175      9.262172727593317E-4
0.00723349706978369       9.26273541969936E-4
0.008433644143009811      9.548859568160487E-4
0.009631188275431586      0.001002089661224207
0.009637252556645257      0.0010023712813788971
0.0096433193588753        0.001005044076722593
0.010839929695216091      0.0010629648464444963
0.012035317967050489      0.00114666604958956
0.012042607291707863      0.0011472501190098775
0.012049902084323072      0.00115074384427079
0.013245237632155805      0.0012487303237115185
0.014439907947882042      0.001379562665676866
0.01444786072795788       0.0013843089357989224
0.014455321520367907      0.001385083778465498
0.01563661583906572       0.0015282195543135134
0.016729030819824058      0.0016938120166465878
0.016825380106896718      0.001709741079748076
0.016937726928324136      0.0017305841254143116
0.017993678436149598      0.0019099607122703656
0.018825589532800325      0.0020768186644304887
0.01916105301348546       0.0021545773356787747
0.019604378137703028      0.002246638983844002
0.020321086250122706      0.002411451150063369
0.02085158271336501       0.00254636656028489
0.021480980659369153      0.002725862114229436
0.022337932507684326      0.002966694220605319
0.022639009683681946      0.0030606723992382193
0.022858269650040914      0.003131892308675827
0.02379699955734269       0.0034587478614749524
0.024867264410672826      0.00386491007865097
0.024957901984930593      0.003902157175593647
0.02508077257826487       0.003954249545123533
0.026118633237962124      0.004429687523104971
0.026888423850967336      0.004791006713187742
0.027281183685428985      0.004994520989283886
0.027807882184114688      0.005284965797799386
0.028443832649448633      0.005661057784882228
0.028929365503083317      0.00596356450372902
0.02961260086534119       0.0064156642485960645
0.030490847285109424      0.0070662058728583775
0.030781285825565503      0.0072936228253850915
0.03101376108962263       0.007492006735960585
0.031958877942642815      0.008283693338141449
0.033097983583719535      0.009389525914699706
0.03313684326665          0.009456865484012162
0.033172603685229646      0.00949134648872539
0.03433947699852359       0.010761010685003227
0.035520825752054765      0.012286091255028685
0.035542139995326565      0.01231507326868909
0.03556330857151991       0.01238176116047771
0.03674505061376997       0.014061328817580739
0.03793939177893427       0.01607106002220057
0.03794795040545876       0.01613385570559527
0.03795645785680158       0.016148124858984043
0.039152207639059154      0.018409646986424943
0.0403522943833984        0.02110401039698692
0.04035646582344064       0.021183483746099564
0.04036062825567054       0.02119271695951405
0.041561485797502615      0.024167541796564
0.04276495542856857       0.027695178503560673
0.042766505435431326      0.027700010226927606
0.0427680535391228        0.027787449684541544
0.04397195496712295       0.031768461295595046
0.04517705707178628       0.03649073281124294
0.045177404522808426      0.03661423720214957
0.04517775184120115       0.03661558744838006
0.04638304306678934       0.041844519008999125
0.04758858214182743       0.04802154227656402
0.047588681606794886      0.048022083660341885
0.04758878105913869       0.048162622195217164
0.04879434080339744       0.05516674860868764
0.05                      0.06342738970140104
