% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
-1.6996996996996998       2.2350990901783312E-6
-1.6956956956956957       2.2445351890398956E-6
-1.6916916916916918       2.253974302997166E-6
-1.6876876876876876       2.264692177921402E-6
-1.6836836836836835       2.2750685922376427E-6
-1.6796796796796798       2.2854505010064733E-6
-1.6756756756756757       2.295837829689229E-6
-1.6716716716716715       2.3062305050515484E-6
-1.6676676676676674       2.3166284551358793E-6
-1.6636636636636637       2.3270316092346134E-6
-1.6596596596596596       2.337439897863805E-6
-1.6556556556556556       2.347853252737676E-6
-1.6516516516516517       2.3582716067435917E-6
-1.6476476476476478       2.3686948939177368E-6
-1.6436436436436437       2.379123049421292E-6
-1.6396396396396398       2.3895560095172868E-6
-1.6356356356356354       2.3999937115479164E-6
-1.6316316316316317       2.410436093912405E-6
-1.6276276276276278       2.420883096045429E-6
-1.6236236236236237       2.431334658396129E-6
-1.6196196196196198       2.4417907224073755E-6
-1.6156156156156156       2.452251230495765E-6
-1.6116116116116115       2.4627161260320034E-6
-1.6076076076076076       2.4731853533217014E-6
-1.6036036036036037       2.4836588575866357E-6
-1.5995995995995995       2.4941365849465874E-6
-1.5955955955955956       2.518500978210773E-6
-1.5915915915915912       2.530682542066125E-6
-1.5875875875875876       2.5428672246420285E-6
-1.5835835835835836       2.55505498132031E-6
-1.5795795795795795       2.567245768318966E-6
-1.5755755755755758       2.5794395426728045E-6
-1.5715715715715715       2.579797464616365E-6
-1.5675675675675675       2.593262690900575E-6
-1.5635635635635636       2.6067335018302048E-6
-1.5595595595595595       2.6202098112712907E-6
-1.5555555555555556       2.633691534818001E-6
-1.5515515515515514       2.6471785897503657E-6
-1.5475475475475475       2.660670894993384E-6
-1.5435435435435436       2.6741683710769393E-6
-1.5395395395395395       2.6876709400971807E-6
-1.5355355355355356       2.701178525678895E-6
-1.5315315315315314       2.7119223152921476E-6
-1.5275275275275275       2.7252361605998646E-6
-1.5235235235235236       2.738560372445609E-6
-1.5195195195195195       2.7518948002502424E-6
-1.5155155155155156       2.765239296224795E-6
-1.5115115115115114       2.7785937153088385E-6
