% Model:              TestCase6_transient.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 29 2020, 11:59
% Dimension:          1
% Nodes:              32410
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         303.16679993461224
50                        323.5728026777452
50                        323.57278993960256
50                        323.5727682177131
50                        323.57272460991965
50                        323.5726709863968
50                        323.57259529801246
50                        323.5725095211318
50                        323.57240163644144
50                        323.57228363076405
50                        323.57214348875186
50                        323.57199319801384
50                        323.57182074289926
50                        323.57163810961595
50                        323.5714332810742
50                        323.57121824136834
50                        323.5709809716092
50                        323.570733453501
50                        323.57046366625224
50                        323.57018358905697
50                        323.5698811992167
50                        323.5695684733754
50                        323.5692333869785
50                        323.5688879150457
50                        323.5685200319127
50                        323.56814210502006
50                        323.5681419091085
50                        323.5681417077774
50                        323.56774181923004
50                        323.56733339595405
50                        323.5673320690894
50                        323.567330708401
50                        323.5669014086805
50                        323.5664656081946
50                        323.5664628201099
50                        323.56645998611697
50                        323.5660056608003
50                        323.56554452773344
50                        323.565542082282
50                        323.56553960524985
50                        323.565059180103
50                        323.56456824052157
50                        323.5645661142311
50                        323.5645671847528
50                        323.5640547031819
50                        323.563531141654
50                        323.5629814531671
50                        323.5624156891382
50                        323.561822135548
50                        323.5612150415269
50                        323.5605843679007
50                        323.5599426874193
50                        323.55927796320884
50                        323.55860214579934
50                        323.5579031977292
50                        323.55719306730873
50                        323.5564597165065
50                        323.5557150912845
50                        323.55494715288245
50                        323.5541678444887
50                        323.5533651259798
50                        323.5525509366036
50                        323.55171323306206
50                        323.55086394763373
50                        323.54999102914775
50                        323.549106395485
50                        323.5481979762899
50                        323.5472776579237
50                        323.546333325877
50                        323.54537679971185
50                        323.5443958739952
50                        323.5434022454499
50                        323.5423835649372
50                        323.5413513926463
100                       343.6131884076352
100                       343.61316260292534
100                       343.61311882829904
100                       343.6130306299318
100                       343.61292240403657
100                       343.6127694063662
100                       343.6125962488507
100                       343.6123782501072
100                       343.6121400462131
100                       343.6118569668821
100                       343.61155365290483
100                       343.61120543647087
100                       343.6108369585951
100                       343.6104235515558
100                       343.60998985503215
100                       343.60951120053113
100                       343.60901222567895
100                       343.6084682608414
100                       343.607903941163
100                       343.60729459566426
100                       343.6066648567156
100                       343.60599005187277
100                       343.60529481235386
100                       343.6045544654961
100                       343.603794433547
100                       343.60379403942557
100                       343.6037936346835
100                       343.6029894627481
100                       343.60216870170115
100                       343.60216603439864
100                       343.6021633010219
100                       343.60130064373067
100                       343.60042554056923
100                       343.6004199402549
100                       343.60041425175086
100                       343.5995020314954
100                       343.5985767989863
100                       343.5985718908583
100                       343.59856692288184
100                       343.5976030840047
100                       343.596618853612
100                       343.59661459111584
100                       343.5966167363887
100                       343.5955894472335
100                       343.59454070010827
100                       343.59454052278784
100                       343.5934397795322
100                       343.59230748114663
100                       343.5911197742153
100                       343.5899058547879
100                       343.58864503105275
100                       343.587363133327
100                       343.5860354688487
100                       343.5846866214858
100                       343.58329189528075
100                       343.5818758672554
100                       343.58041383770114
100                       343.578930375914
100                       343.57740077745564
100                       343.57584960233294
100                       343.57425213932953
100                       343.5726329359385
100                       343.5709672695003
100                       343.5692796676625
100                       343.5675453853171
100                       343.5657889133102
100                       343.5639854586857
100                       343.5621594375699
100                       343.5602859544873
100                       343.5583892745552
100                       343.5564443002873
100                       343.5544750299882
100                       343.5524560633501
100                       343.55041113203174
150                       363.2878531161657
150                       363.2878145726293
150                       363.2877492098827
150                       363.2876174839978
150                       363.28745586743787
150                       363.28722736743566
150                       363.2869687781165
150                       363.28664320024797
150                       363.2862874637006
150                       363.2858646855136
150                       363.28541170230193
150                       363.2848916345183
150                       363.2843413188173
150                       363.2837238755068
150                       363.2830761389666
150                       363.2823612280728
150                       363.2816159738678
150                       363.2808034932432
150                       363.27996061328355
150                       363.27905044862
150                       363.2781098219394
150                       363.27710184545424
150                       363.27606333990786
150                       363.2749574169855
150                       363.273822078886
150                       363.27382149013863
150                       363.27382088551974
150                       363.2726195691552
150                       363.27139345663716
150                       363.2713894719827
150                       363.271385388567
150                       363.2700966438862
150                       363.26878928724665
150                       363.2687809205999
150                       363.2687724220705
150                       363.2674095679787
150                       363.26602725109325
150                       363.2660199181841
150                       363.2660124957322
150                       363.26457245174953
150                       363.2631019149421
150                       363.2630955462474
150                       363.2630987515794
150                       363.2615638300875
150                       363.2599968166351
150                       363.2599965516827
150                       363.258351793455
150                       363.25665984911404
150                       363.2548850536335
150                       363.25307104857774
150                       363.2511868949015
150                       363.24927120635215
150                       363.2472870662936
150                       363.2452712268564
150                       363.24318676779836
150                       363.24107043245414
150                       363.2388852967711
150                       363.23666809481904
150                       363.2343818984843
150                       363.2320634320405
150                       363.2296757629722
150                       363.2272556050918
150                       363.2247660209385
150                       363.22224371289343
150                       363.21965173754313
150                       363.21702678418893
150                       363.21433190147144
150                       363.2116037625839
150                       363.20880540441885
150                       363.2059734789063
150                       363.2030710054716
150                       363.2001346094167
150                       363.1971272920817
150                       363.1940856652402
200                       382.6117593385604
200                       382.6117081228725
200                       382.61162129465595
200                       382.6114462759328
200                       382.611231567568
200                       382.61092797991165
200                       382.6105844416701
200                       382.61015188810387
200                       382.6096792961048
200                       382.60911762326424
200                       382.60851585616444
200                       382.6078249576738
200                       382.6070939151818
200                       382.6062736921332
200                       382.60541327367747
200                       382.6044636221551
200                       382.6034737190966
200                       382.60239452503527
200                       382.6012750170975
200                       382.60006615368786
200                       382.59881690698177
200                       382.5974782330926
200                       382.5960991025549
200                       382.5946304717538
200                       382.5931228810383
200                       382.59312209923587
200                       382.59312129641387
200                       382.5915261348495
200                       382.58989816545176
200                       382.58989287471394
200                       382.5898874532467
200                       382.58817637536424
200                       382.5864407192782
200                       382.5864296114104
200                       382.58641832933984
200                       382.58460905623235
200                       382.58277409383214
200                       382.58276435951075
200                       382.58275450714416
200                       382.58084298728073
200                       382.57889115871865
200                       382.57888270579787
200                       382.57888695992347
200                       382.5768497610198
200                       382.57477015824367
200                       382.5747698066307
200                       382.5725871330113
200                       382.570342060731
200                       382.5679871824872
200                       382.56558053227417
200                       382.5630809714488
200                       382.5605398611304
200                       382.5579081323377
200                       382.55523467812975
200                       382.5524704267316
200                       382.5496642616114
200                       382.54676710815653
200                       382.5438278398945
200                       382.54079737939156
200                       382.5377245899961
200                       382.53456039165087
200                       382.5313536375771
200                       382.52805524575643
200                       382.5247140600811
200                       382.52128099839234
200                       382.5178048978401
200                       382.5142366806553
200                       382.51062518384214
200                       382.5069213442862
200                       382.5031740132466
200                       382.49933416230635
200                       382.49545068172483
200                       382.49147460412473
200                       382.4874548739562
250                       401.5815997374084
250                       401.58153598210333
250                       401.58142790428275
250                       401.5812100406791
250                       401.5809427819282
250                       401.5805648826303
250                       401.58013726674284
250                       401.5795988451659
250                       401.57901060268387
250                       401.5783114788564
250                       401.57756247141475
250                       401.5767025273871
250                       401.5757926464336
250                       401.57477177724604
250                       401.5737009176681
250                       401.5725190160157
250                       401.57128706665674
250                       401.56994401671915
250                       401.56855085618434
250                       401.5670465306626
250                       401.56549202514395
250                       401.563826283601
250                       401.5621102902358
250                       401.5602829906614
250                       401.55840732349253
250                       401.5584063508019
250                       401.55840535201895
250                       401.55642080231337
250                       401.5543955626281
250                       401.5543889807163
250                       401.5543822366107
250                       401.55225369051686
250                       401.55009471615296
250                       401.55008089894125
250                       401.5500668660263
250                       401.5478164164575
250                       401.54553418054974
250                       401.5455220733056
250                       401.5455098201715
250                       401.5431324770674
250                       401.54070519400705
250                       401.54069468227715
250                       401.5406999723298
250                       401.538166653457
250                       401.535580824821
250                       401.53558038762964
